log10(x) x f_dokl f_obl blad_wzgledny
-10 1e-10 1 inf inf
-9.9899999999999999998 1.023292992280754131e-10 1 inf inf
-9.9799999999999999996 1.0471285480508995334e-10 1 inf inf
-9.9700000000000000002 1.0715193052376064174e-10 1 inf inf
-9.96 1.0964781961431850131e-10 1 inf inf
-9.9499999999999999998 1.1220184543019634356e-10 1 inf inf
-9.9399999999999999996 1.1481536214968827516e-10 1 inf inf
-9.9300000000000000003 1.1748975549395295418e-10 1 inf inf
-9.9200000000000000001 1.2022644346174129058e-10 1 inf inf
-9.9099999999999999999 1.2302687708123815342e-10 1 inf inf
-9.8999999999999999997 1.2589254117941672104e-10 1 inf inf
-9.8900000000000000003 1.2882495516931339628e-10 1 inf inf
-9.8800000000000000001 1.318256738556407102e-10 1 inf inf
-9.8699999999999999999 1.3489628825916536093e-10 1 inf inf
-9.8599999999999999997 1.3803842646028848378e-10 1 inf inf
-9.8500000000000000003 1.4125375446227543022e-10 1 inf inf
-9.8400000000000000001 1.4454397707459275119e-10 1 inf inf
-9.8299999999999999999 1.4791083881682074222e-10 1 inf inf
-9.8199999999999999997 1.5135612484362081625e-10 1 inf inf
-9.8100000000000000004 1.5488166189124813447e-10 1 inf inf
-9.8000000000000000002 1.5848931924611134852e-10 1 inf inf
-9.79 1.6218100973589299729e-10 1 inf inf
-9.7799999999999999998 1.6595869074375606343e-10 1 inf inf
-9.7700000000000000004 1.6982436524617443547e-10 1 inf inf
-9.7600000000000000002 1.7378008287493754669e-10 1 inf inf
-9.75 1.7782794100389228012e-10 1 inf inf
-9.7399999999999999998 1.8197008586099834401e-10 1 inf inf
-9.7299999999999999996 1.8620871366628674487e-10 1 inf inf
-9.7200000000000000002 1.9054607179632471827e-10 1 inf inf
-9.71 1.9498445997580453235e-10 1 inf inf
-9.6999999999999999998 1.9952623149688796014e-10 1 inf inf
-9.6899999999999999996 2.0417379446695293314e-10 1 inf inf
-9.6800000000000000003 2.0892961308540394831e-10 1 inf inf
-9.6700000000000000001 2.1379620895022320975e-10 1 inf inf
-9.6599999999999999999 2.1877616239495525622e-10 1 inf inf
-9.6499999999999999997 2.238721138568339612e-10 1 inf inf
-9.6400000000000000003 2.2908676527677730457e-10 1 inf inf
-9.6300000000000000001 2.3442288153199221181e-10 1 inf inf
-9.6199999999999999999 2.3988329190194904653e-10 1 inf inf
-9.6099999999999999997 2.4547089156850303561e-10 1 inf inf
-9.6000000000000000003 2.511886431509580111e-10 1 inf inf
-9.5900000000000000001 2.5703957827688638007e-10 1 inf inf
-9.5799999999999999999 2.6302679918953819173e-10 1 inf inf
-9.5699999999999999997 2.6915348039269157173e-10 1 0.12873550402265926432 0.8712645
-9.5600000000000000004 2.7542287033381664487e-10 1 inf inf
-9.5500000000000000002 2.8183829312644538192e-10 1 inf inf
